report_date,yesterday_purchase,yesterday_redeem,week1,week2,week3,week4,day_of_week,day_of_month,isweekend,mfd_daily_yield,mfd_7daily_yield,Interest_3_M,shouldwork,dayofmonth_percent,week1,week2,week3,term_percent
20140212,670470102,315239225,162119647,1183825013,462593233,233318844,3,12,0,1.6702,6.298,5.0197,,,70100225,274603869,183458941,
20140213,551106906,425221290,225661839,242566772,294368520,490563564,4,13,0,1.6705,6.334,4.9768,,,89786438,99811984,332744686,
20140214,461212821,301079648,621409043,90124260,450511317,262046075,5,14,0,1.661,6.311,4.9418,,,356235057,29125625,188651670,
20140215,522331058,233371566,315242286,101183694,349192126,184240864,6,15,1,1.6566,6.298,4.925,,,134579390,51483587,131010888,
20140216,305214647,110240413,336607101,86649833,446945594,301523785,7,16,1,1.6563,6.286,4.883,,,143211947,35016210,214348269,
20140217,361250311,139432186,632298767,85303404,715461017,312028349,1,17,0,1.6526,6.259,4.855,,,418611061,92071628,260269121,
20140218,675485671,314699059,670470102,92866528,870587680,337095722,2,18,0,1.6433,6.241,4.8393,,,315239225,61618152,256692351,
20140219,422741202,246229299,551106906,162119647,1183825013,462593233,3,19,0,1.6337,6.22,4.8259,,,425221290,70100225,274603869,
20140220,642931201,247608257,461212821,225661839,242566772,294368520,4,20,0,1.6358,6.201,4.8181,,,301079648,89786438,99811984,
20140221,527167832,276717727,522331058,621409043,90124260,450511317,5,21,0,1.6282,6.183,4.8095,,,233371566,356235057,29125625,
20140222,394746918,206572952,305214647,315242286,101183694,349192126,6,22,1,1.6247,6.165,4.7941,,,110240413,134579390,51483587,
20140223,235659822,129881807,361250311,336607101,86649833,446945594,7,23,1,1.6238,6.147,4.7862,,,139432186,143211947,35016210,
20140224,308396249,237023147,675485671,632298767,85303404,715461017,1,24,0,1.6323,6.136,4.7794,,,314699059,418611061,92071628,
20140225,595170010,326481227,422741202,670470102,92866528,870587680,2,25,0,1.6039,6.114,4.7777,,,246229299,315239225,61618152,
20140226,713994252,349836501,642931201,551106906,162119647,1183825013,3,26,0,1.596,6.093,4.7825,,,247608257,425221290,70100225,
20140227,486006154,476270827,527167832,461212821,225661839,242566772,4,27,0,1.5792,6.062,4.7767,,,276717727,301079648,89786438,
20140228,537812517,660825256,394746918,522331058,621409043,90124260,5,28,0,1.572,6.031,4.7692,,,206572952,233371566,356235057,
20140301,420504763,282310184,235659822,305214647,315242286,101183694,6,1,1,1.5698,6.001,4.7751,,,129881807,110240413,134579390,
20140302,215356482,148429245,308396249,361250311,336607101,86649833,7,2,1,1.5695,5.971,4.7761,,,237023147,139432186,143211947,
20140303,275779265,163786963,595170010,675485671,632298767,85303404,1,3,0,1.5559,5.928,4.7679,,,326481227,314699059,418611061,
20140304,523895828,360144530,713994252,422741202,670470102,92866528,2,4,0,1.5429,5.895,4.7582,,,349836501,246229299,315239225,
20140305,521644375,278261421,486006154,642931201,551106906,162119647,3,5,0,1.5411,5.864,4.7478,,,476270827,247608257,425221290,
20140306,497668868,275381156,537812517,527167832,461212821,225661839,4,6,0,1.5259,5.835,4.7482,,,660825256,276717727,301079648,
20140307,495755683,366030834,420504763,394746918,522331058,621409043,5,7,0,1.517,5.805,4.7499,,,282310184,206572952,233371566,
20140308,492623841,274009352,215356482,235659822,305214647,315242286,6,8,1,1.5148,5.774,4.7499,,,148429245,129881807,110240413,
20140309,215355021,157996615,275779265,308396249,361250311,336607101,7,9,1,1.5145,5.744,4.75,,,163786963,237023147,139432186,
20140310,296559440,169872578,523895828,595170010,675485671,632298767,1,10,0,1.5048,5.716,4.75,,,360144530,326481227,314699059,
20140311,533357693,296534165,521644375,713994252,422741202,670470102,2,11,0,1.4965,5.69,4.75,,,278261421,349836501,246229299,
20140312,488913889,267437055,497668868,486006154,642931201,551106906,3,12,0,1.4997,5.668,4.7495,,,275381156,476270827,247608257,
20140313,317050657,298538230,495755683,537812517,527167832,461212821,4,13,0,1.4878,5.647,4.75,,,366030834,660825256,276717727,
20140314,438410772,255918695,492623841,420504763,394746918,522331058,5,14,0,1.4831,5.628,4.749,,,274009352,282310184,206572952,
20140315,319556555,270497983,215355021,215356482,235659822,305214647,6,15,1,1.4818,5.61,4.7438,,,157996615,148429245,129881807,
20140316,201137958,242196362,296559440,275779265,308396249,361250311,7,16,1,1.4816,5.592,4.7423,,,169872578,163786963,237023147,
20140317,219592025,188184766,533357693,523895828,595170010,675485671,1,17,0,1.4628,5.568,4.7461,,,296534165,360144530,326481227,
20140318,411958428,420064650,488913889,521644375,713994252,422741202,2,18,0,1.4726,5.555,4.7485,,,267437055,278261421,349836501,
20140319,302616910,341931886,317050657,497668868,486006154,642931201,3,19,0,1.4786,5.544,4.7487,,,298538230,275381156,476270827,
20140320,295342178,414884867,438410772,495755683,537812517,527167832,4,20,0,1.4772,5.538,4.7448,,,255918695,366030834,660825256,
20140321,302584612,304013906,319556555,492623841,420504763,394746918,5,21,0,1.4787,5.535,4.7467,,,270497983,274009352,282310184,
20140322,274386390,280963645,201137958,215355021,215356482,235659822,6,22,1,1.4638,5.526,4.7467,,,242196362,157996615,148429245,
20140323,145506447,200897470,219592025,296559440,275779265,308396249,7,23,1,1.4636,5.516,4.7465,,,188184766,169872578,163786963,
20140324,167604758,160853972,411958428,533357693,523895828,595170010,1,24,0,1.4542,5.511,4.7525,,,420064650,296534165,360144530,
20140325,330726069,318658552,302616910,488913889,521644375,713994252,2,25,0,1.446,5.496,4.7465,,,341931886,267437055,278261421,
20140326,337425152,362444778,295342178,317050657,497668868,486006154,3,26,0,1.4345,5.472,4.7465,,,414884867,298538230,275381156,
20140327,426653122,257938486,302584612,438410772,495755683,537812517,4,27,0,1.4273,5.445,4.7465,,,304013906,255918695,366030834,
20140328,266160879,326543305,274386390,319556555,492623841,420504763,5,28,0,1.4255,5.415,4.739,,,280963645,270497983,274009352,
20140329,223771699,372161003,145506447,201137958,215355021,215356482,6,29,1,1.4259,5.395,4.7316,,,200897470,242196362,157996615,
20140330,194925803,138171183,167604758,219592025,296559440,275779265,7,30,1,1.4257,5.374,4.7215,,,160853972,188184766,169872578,
20140331,161565264,256893459,330726069,411958428,533357693,523895828,1,31,0,1.431,5.361,4.7149,,,318658552,420064650,296534165,
20140401,377931423,497687416,337425152,302616910,488913889,521644375,2,1,0,1.4368,5.356,4.7081,1,0.0333333333,362444778,341931886,267437055,0.4
20140402,424784984,280407782,426653122,295342178,317050657,497668868,3,2,0,1.437,5.357,4.7049,1,0.0666666667,257938486,414884867,298538230,0.6
20140403,418550858,234601543,266160879,302584612,438410772,495755683,4,3,0,1.4364,5.362,4.6982,1,0.1,326543305,304013906,255918695,0.8
20140404,301858010,259172151,223771699,274386390,319556555,492623841,5,4,0,1.4338,5.367,4.6941,1,0.1333333333,372161003,280963645,270497983,1
20140405,235574221,171218775,194925803,145506447,201137958,215355021,6,5,1,1.4318,5.37,4.6921,0,0.1666666667,138171183,200897470,242196362,0.3333333333
20140406,171320519,130175071,161565264,167604758,219592025,296559440,7,6,1,1.4314,5.373,4.6916,0,0.2,256893459,160853972,188184766,0.6666666667
20140407,132973045,86148848,377931423,330726069,411958428,533357693,1,7,0,1.4312,5.373,4.6905,0,0.2333333333,497687416,318658552,420064650,1
20140408,237413785,151211943,424784984,337425152,302616910,488913889,2,8,0,1.4263,5.368,4.6882,1,0.2666666667,280407782,362444778,341931886,0.25
20140409,360613734,241500693,418550858,426653122,295342178,317050657,3,9,0,1.4239,5.36,4.6834,1,0.3,234601543,257938486,414884867,0.5
20140410,465391689,301919971,301858010,266160879,302584612,438410772,4,10,0,1.4202,5.351,4.6811,1,0.3333333333,259172151,326543305,304013906,0.75
20140411,325897532,292651452,235574221,223771699,274386390,319556555,5,11,0,1.4106,5.339,4.6805,1,0.3666666667,171218775,372161003,280963645,1
20140412,275556141,263431235,171320519,194925803,145506447,201137958,6,12,1,1.4099,5.327,4.6791,0,0.4,130175071,138171183,200897470,0.5
20140413,198643801,177456118,132973045,161565264,167604758,219592025,7,13,1,1.4097,5.315,4.6804,0,0.4333333333,86148848,256893459,160853972,1
20140414,202424482,199455537,237413785,377931423,330726069,411958428,1,14,0,1.4048,5.3,4.6786,1,0.4666666667,151211943,497687416,318658552,0.2
20140415,359340606,315904149,360613734,424784984,337425152,302616910,2,15,0,1.4022,5.287,4.6764,1,0.5,241500693,280407782,362444778,0.4
20140416,337278983,333481946,465391689,418550858,426653122,295342178,3,16,0,1.3958,5.272,4.6758,1,0.5333333333,301919971,234601543,257938486,0.6
20140417,344518277,258644563,325897532,301858010,266160879,302584612,4,17,0,1.3866,5.253,4.6695,1,0.5666666667,292651452,259172151,326543305,0.8
20140418,268273324,259158950,275556141,235574221,223771699,274386390,5,18,0,1.3841,5.239,4.668,1,0.6,263431235,171218775,372161003,1
20140419,297030419,212558260,198643801,171320519,194925803,145506447,6,19,1,1.3835,5.224,4.6689,0,0.6333333333,177456118,130175071,138171183,0.5
20140420,131860659,161932743,202424482,132973045,161565264,167604758,7,20,1,1.383,5.21,4.6659,0,0.6666666667,199455537,86148848,256893459,1
20140421,161634908,175154181,359340606,237413785,377931423,330726069,1,21,0,1.3866,5.2,4.6659,1,0.7,315904149,151211943,497687416,0.2
20140422,381369739,416482875,337278983,360613734,424784984,337425152,2,22,0,1.3813,5.188,4.6659,1,0.7333333333,333481946,241500693,280407782,0.4
20140423,268322472,329994810,344518277,465391689,418550858,426653122,3,23,0,1.3654,5.171,4.6659,1,0.7666666667,258644563,301919971,234601543,0.6
20140424,262963640,289670313,268273324,325897532,301858010,266160879,4,24,0,1.3515,5.152,4.6659,1,0.8,259158950,292651452,259172151,0.8
20140425,203798291,348965167,297030419,275556141,235574221,223771699,5,25,0,1.344,5.13,4.6659,1,0.8333333333,212558260,263431235,171218775,1
20140426,320373050,231507912,131860659,198643801,171320519,194925803,6,26,1,1.3441,5.109,4.6659,0,0.8666666667,161932743,177456118,130175071,0.5
20140427,184640194,110439209,161634908,202424482,132973045,161565264,7,27,1,1.3439,5.087,4.6659,0,0.9,175154181,199455537,86148848,1
20140428,167611543,241292798,381369739,359340606,237413785,377931423,1,28,0,1.3506,5.067,4.6659,1,0.9333333333,416482875,315904149,151211943,0.3333333333
20140429,285236269,413667536,268322472,337278983,360613734,424784984,2,29,0,1.346,5.048,4.6659,1,0.9666666667,329994810,333481946,241500693,0.6666666667
20140430,303772841,340918574,262963640,344518277,465391689,418550858,3,30,0,1.3511,5.04,4.6659,1,1,289670313,258644563,301919971,1
20140501,232262878,274590040,203798291,268273324,325897532,301858010,4,1,0,1.3364,5.032,4.6659,0,0.0322580645,348965167,259158950,292651452,0.3333333333
20140502,197451051,113440731,320373050,297030419,275556141,235574221,5,2,0,1.3362,5.028,4.6659,0,0.064516129,231507912,212558260,263431235,0.6666666667
20140503,129869154,103269793,184640194,131860659,198643801,171320519,6,3,1,1.3361,5.023,4.6659,0,0.0967741935,110439209,161932743,177456118,1
20140504,229609301,174430184,167611543,161634908,202424482,132973045,7,4,1,1.3543,5.029,4.6659,1,0.1290322581,241292798,175154181,199455537,0.1666666667
20140505,297192156,282088123,285236269,381369739,359340606,237413785,1,5,0,1.3378,5.022,4.6659,1,0.1612903226,413667536,416482875,315904149,0.3333333333
20140506,425987710,324920452,303772841,268322472,337278983,360613734,2,6,0,1.3831,5.042,4.6659,1,0.1935483871,340918574,329994810,333481946,0.5
20140507,323536443,295986647,232262878,262963640,344518277,465391689,3,7,0,1.3393,5.036,4.6659,1,0.2258064516,274590040,289670313,258644563,0.6666666667
20140508,406395515,221742769,197451051,203798291,268273324,325897532,4,8,0,1.3221,5.028,4.6659,1,0.2580645161,113440731,348965167,259158950,0.8333333333
20140509,353562072,267751934,129869154,320373050,297030419,275556141,5,9,0,1.3244,5.022,4.6659,1,0.2903225806,103269793,231507912,212558260,1
20140510,265472393,158473997,229609301,184640194,131860659,198643801,6,10,1,1.3117,5.008,4.6659,0,0.3225806452,174430184,110439209,161932743,0.5
20140511,227672886,258495276,297192156,167611543,161634908,202424482,7,11,1,1.3115,4.985,4.6659,0,0.3548387097,282088123,241292798,175154181,1
20140512,208480221,142970887,425987710,285236269,381369739,359340606,1,12,0,1.3083,4.969,4.6659,1,0.3870967742,324920452,413667536,416482875,0.2
20140513,285228437,338432936,323536443,303772841,268322472,337278983,2,13,0,1.3022,4.924,4.6659,1,0.4193548387,295986647,340918574,329994810,0.4
20140514,362372059,250343867,406395515,232262878,262963640,344518277,3,14,0,1.2986,4.902,4.6659,1,0.4516129032,221742769,274590040,289670313,0.6
20140515,290208996,297491596,353562072,197451051,203798291,268273324,4,15,0,1.2971,4.888,4.6659,1,0.4838709677,267751934,113440731,348965167,0.8
20140516,303286621,435249186,265472393,129869154,320373050,297030419,5,16,0,1.2986,4.874,4.6659,1,0.5161290323,158473997,103269793,231507912,1
20140517,254644568,200510199,227672886,229609301,184640194,131860659,6,17,1,1.2818,4.858,4.6659,0,0.5483870968,258495276,174430184,110439209,0.5
20140518,116291491,179594252,208480221,297192156,167611543,161634908,7,18,1,1.2816,4.842,4.6659,0,0.5806451613,142970887,282088123,241292798,1
20140519,161097108,145479624,285228437,425987710,285236269,381369739,1,19,0,1.3283,4.853,4.6659,1,0.6129032258,338432936,324920452,413667536,0.2
20140520,347718384,422101826,362372059,323536443,303772841,268322472,2,20,0,1.3308,4.868,4.6659,1,0.6451612903,250343867,295986647,340918574,0.4
20140521,286615315,197106347,290208996,406395515,232262878,262963640,3,21,0,1.323,4.882,4.6659,1,0.6774193548,297491596,221742769,274590040,0.6
20140522,241015636,292385050,303286621,353562072,197451051,203798291,4,22,0,1.2887,4.877,4.6659,1,0.7096774194,435249186,267751934,113440731,0.8
20140523,273390048,295631432,254644568,265472393,129869154,320373050,5,23,0,1.281,4.867,4.6659,1,0.7419354839,200510199,158473997,103269793,1
20140524,200156003,223981714,116291491,227672886,229609301,184640194,6,24,1,1.2488,4.849,4.6659,0,0.7741935484,179594252,258495276,174430184,0.5
20140525,141641047,233305829,161097108,208480221,297192156,167611543,7,25,1,1.2486,4.831,4.6659,0,0.8064516129,145479624,142970887,282088123,1
20140526,169866612,147245163,347718384,285228437,425987710,285236269,1,26,0,1.249,4.788,4.6659,1,0.8387096774,422101826,338432936,324920452,0.2
20140527,266803815,415178334,286615315,362372059,323536443,303772841,2,27,0,1.2548,4.746,4.6659,1,0.8709677419,197106347,250343867,295986647,0.4
20140528,249676185,369000169,241015636,290208996,406395515,232262878,3,28,0,1.2597,4.712,4.6659,1,0.9032258065,292385050,297491596,221742769,0.6
20140529,268930576,381785376,273390048,303286621,353562072,197451051,4,29,0,1.2381,4.684,4.6659,1,0.935483871,295631432,435249186,267751934,0.8
20140530,339227554,402129748,200156003,254644568,265472393,129869154,5,30,0,1.279,4.683,4.6659,1,0.9677419355,223981714,200510199,158473997,1
20140531,248860973,276489019,141641047,116291491,227672886,229609301,6,31,1,1.2376,4.677,4.6659,0,1,233305829,179594252,258495276,0.3333333333
20140601,128370165,153225467,169866612,161097108,208480221,297192156,7,1,1,1.2364,4.67,4.6659,0,0.0333333333,147245163,145479624,142970887,0.6666666667
20140602,143942297,111076626,266803815,347718384,285228437,425987710,1,2,0,1.2305,4.66,4.6659,0,0.0666666667,415178334,422101826,338432936,1
20140603,176770324,157408750,249676185,286615315,362372059,323536443,2,3,0,1.2473,4.656,4.6659,1,0.1,369000169,197106347,250343867,0.25
20140604,285424724,372184784,268930576,241015636,290208996,406395515,3,4,0,1.2611,4.657,4.6659,1,0.1333333333,381785376,292385050,297491596,0.5
20140605,275697613,327061084,339227554,273390048,303286621,353562072,4,5,0,1.2818,4.681,4.6659,1,0.1666666667,402129748,295631432,435249186,0.75
20140606,309000179,302841375,248860973,200156003,254644568,265472393,5,6,0,1.2476,4.664,4.6659,1,0.2,276489019,223981714,200510199,1
20140607,255880246,217295228,128370165,141641047,116291491,227672886,6,7,1,1.2474,4.669,4.6659,0,0.2333333333,153225467,233305829,179594252,0.5
20140608,155141863,206165504,143942297,169866612,161097108,208480221,7,8,1,1.2473,4.675,4.6659,0,0.2666666667,111076626,147245163,145479624,1
20140609,181144835,180076832,176770324,266803815,347718384,285228437,1,9,0,1.2719,4.698,4.6659,1,0.3,157408750,415178334,422101826,0.2
20140610,442360742,241085611,285424724,249676185,286615315,362372059,2,10,0,1.2628,4.706,4.6659,1,0.3333333333,372184784,369000169,197106347,0.4
20140611,389636668,282137606,275697613,268930576,241015636,290208996,3,11,0,1.2723,4.712,4.6659,1,0.3666666667,327061084,381785376,292385050,0.6
20140612,311384505,277431859,309000179,339227554,273390048,303286621,4,12,0,1.2625,4.702,4.6659,1,0.4,302841375,402129748,295631432,0.8
20140613,267188252,256164551,255880246,248860973,200156003,254644568,5,13,0,1.2801,4.719,4.6659,1,0.4333333333,217295228,276489019,223981714,1
20140614,256177180,284281673,155141863,128370165,141641047,116291491,6,14,1,1.2678,4.73,4.6659,0,0.4666666667,206165504,153225467,233305829,0.5
20140615,148539864,289810759,181144835,143942297,169866612,161097108,7,15,1,1.2677,4.742,4.6659,0,0.5,180076832,111076626,147245163,1
20140616,201999390,217992393,442360742,176770324,266803815,347718384,1,16,0,1.2581,4.734,4.6659,1,0.5333333333,241085611,157408750,415178334,0.2
20140617,336917078,383963086,389636668,285424724,249676185,286615315,2,17,0,1.2436,4.724,4.6659,1,0.5666666667,282137606,372184784,369000169,0.4
20140618,324524255,331341050,311384505,275697613,268930576,241015636,3,18,0,1.2244,4.697,4.6659,1,0.6,277431859,327061084,381785376,0.6
20140619,266480068,358972950,267188252,309000179,339227554,273390048,4,19,0,1.193,4.66,4.6659,1,0.6333333333,256164551,302841375,402129748,0.8
20140620,282577514,322086055,256177180,255880246,248860973,200156003,5,20,0,1.2332,4.634,4.6659,1,0.6666666667,284281673,217295228,276489019,1
20140621,226974141,333222993,148539864,155141863,128370165,141641047,6,21,1,1.1774,4.585,4.6659,0,0.7,289810759,206165504,153225467,0.5
20140622,186364721,169065467,201999390,181144835,143942297,169866612,7,22,1,1.1773,4.535,4.6659,0,0.7333333333,217992393,180076832,111076626,1
20140623,143403001,232029485,336917078,442360742,176770324,266803815,1,23,0,1.1818,4.494,4.6659,1,0.7666666667,383963086,241085611,157408750,0.2
20140624,304220528,444554691,324524255,389636668,285424724,249676185,2,24,0,1.1875,4.463,4.6659,1,0.8,331341050,282137606,372184784,0.4
20140625,298405851,342707532,266480068,311384505,275697613,268930576,3,25,0,1.1376,4.416,4.6659,1,0.8333333333,358972950,277431859,327061084,0.6
20140626,271335080,319358448,282577514,267188252,309000179,339227554,4,26,0,1.1175,4.375,4.6659,1,0.8666666667,322086055,256164551,302841375,0.8
20140627,223576983,498151313,226974141,256177180,255880246,248860973,5,27,0,1.1403,4.324,4.6659,1,0.9,333222993,284281673,217295228,1
20140628,186455771,307276813,186364721,148539864,155141863,128370165,6,28,1,1.1247,4.296,4.6659,0,0.9333333333,169065467,289810759,206165504,0.5
20140629,181197896,199382031,143403001,201999390,181144835,143942297,7,29,1,1.1245,4.267,4.6659,0,0.9666666667,232029485,217992393,180076832,1
20140630,171945311,238934317,304220528,336917078,442360742,176770324,1,30,0,1.1234,4.235,4.6659,1,1,444554691,383963086,241085611,0.2
20140701,331665096,425796747,298405851,324524255,389636668,285424724,2,1,0,1.1619,4.221,4.6659,1,0.0322580645,342707532,331341050,282137606,0.4
20140702,379361211,358485374,271335080,266480068,311384505,275697613,3,2,0,1.1374,4.221,4.6659,1,0.064516129,319358448,358972950,277431859,0.6
20140703,301263008,364268994,223576983,282577514,267188252,309000179,4,3,0,1.1345,4.23,4.6659,1,0.0967741935,498151313,322086055,256164551,0.8
20140704,205360896,257959811,186455771,226974141,256177180,255880246,5,4,0,1.1211,4.22,4.6659,1,0.1290322581,307276813,333222993,284281673,1
20140705,221546458,253548445,181197896,186364721,148539864,155141863,6,5,1,1.121,4.218,4.6659,0,0.1612903226,199382031,169065467,289810759,0.5
20140706,162447667,168602028,171945311,143403001,201999390,181144835,7,6,1,1.1209,4.216,4.6659,0,0.1935483871,238934317,232029485,217992393,1
20140707,163090528,250453540,331665096,304220528,336917078,442360742,1,7,0,1.1216,4.215,4.6659,1,0.2258064516,425796747,444554691,383963086,0.2
20140708,330300280,332660498,379361211,298405851,324524255,389636668,2,8,0,1.1183,4.191,4.6659,1,0.2580645161,358485374,342707532,331341050,0.4
20140709,237821679,363952447,301263008,271335080,266480068,311384505,3,9,0,1.1169,4.18,4.6659,1,0.2903225806,364268994,319358448,358972950,0.6
20140710,254180106,308883169,205360896,223576983,282577514,267188252,4,10,0,1.1305,4.178,4.6659,1,0.3225806452,257959811,498151313,322086055,0.8
20140711,277110154,322207184,221546458,186455771,226974141,256177180,5,11,0,1.12,4.177,4.6659,1,0.3548387097,253548445,307276813,333222993,1
20140712,233743113,266630674,162447667,181197896,186364721,148539864,6,12,1,1.113,4.173,4.6659,0,0.3870967742,168602028,199382031,169065467,0.5
20140713,149584303,173485119,163090528,171945311,143403001,201999390,7,13,1,1.1125,4.169,4.6659,0,0.4193548387,250453540,238934317,232029485,1
20140714,142610813,218339981,330300280,331665096,304220528,336917078,1,14,0,1.1284,4.172,4.6659,1,0.4516129032,332660498,425796747,444554691,0.2
20140715,246080213,272164963,237821679,379361211,298405851,324524255,2,15,0,1.1341,4.181,4.6659,1,0.4838709677,363952447,358485374,342707532,0.4
20140716,299355385,369452520,254180106,301263008,271335080,266480068,3,16,0,1.1377,4.192,4.6659,1,0.5161290323,308883169,364268994,319358448,0.6
20140717,277080654,278415089,277110154,205360896,223576983,282577514,4,17,0,1.1133,4.183,4.6659,1,0.5483870968,322207184,257959811,498151313,0.8
20140718,254493213,204597291,233743113,221546458,186455771,226974141,5,18,0,1.1215,4.184,4.6659,1,0.5806451613,266630674,253548445,307276813,1
20140719,191967546,162854740,149584303,162447667,181197896,186364721,6,19,1,1.1131,4.184,4.6659,0,0.6129032258,173485119,168602028,199382031,0.5
20140720,153934641,122809272,142610813,163090528,171945311,143403001,7,20,1,1.1129,4.184,4.6659,0,0.6451612903,218339981,250453540,238934317,1
20140721,174324225,157986108,246080213,330300280,331665096,304220528,1,21,0,1.1428,4.192,4.6659,1,0.6774193548,272164963,332660498,425796747,0.2
20140722,241509367,325273684,299355385,237821679,379361211,298405851,2,22,0,1.1166,4.182,4.6659,1,0.7096774194,369452520,363952447,358485374,0.4
20140723,222479621,307691465,277080654,254180106,301263008,271335080,3,23,0,1.1266,4.176,4.6659,1,0.7419354839,278415089,308883169,364268994,0.6
20140724,281820273,289004852,254493213,277110154,205360896,223576983,4,24,0,1.1215,4.181,4.6659,1,0.7741935484,204597291,322207184,257959811,0.8
20140725,257332381,284291000,191967546,233743113,221546458,186455771,5,25,0,1.1244,4.182,4.6659,1,0.8064516129,162854740,266630674,253548445,1
20140726,203397102,233005216,153934641,149584303,162447667,181197896,6,26,1,1.1221,4.187,4.6659,0,0.8387096774,122809272,173485119,168602028,0.5
20140727,198457820,152163398,174324225,142610813,163090528,171945311,7,27,1,1.122,4.192,4.6659,0,0.8709677419,157986108,218339981,250453540,1
20140728,162389176,281734449,241509367,246080213,330300280,331665096,1,28,0,1.1276,4.184,4.6659,1,0.9032258065,325273684,272164963,332660498,0.2
20140729,253136439,393656353,222479621,299355385,237821679,379361211,2,29,0,1.1156,4.183,4.6659,1,0.935483871,307691465,369452520,363952447,0.4
20140730,325692942,185509598,281820273,277080654,254180106,301263008,3,30,0,1.1162,4.178,4.6659,1,0.9677419355,289004852,278415089,308883169,0.6
20140731,239088792,278053927,257332381,254493213,277110154,205360896,4,31,0,1.1156,4.174,4.6659,1,1,284291000,204597291,322207184,0.8
20140801,228056623,269628521,203397102,191967546,233743113,221546458,5,1,0,1.1173,4.171,4.6659,1,0.0322580645,233005216,162854740,266630674,1
20140802,378242546,282593743,198457820,153934641,149584303,162447667,6,2,1,1.118,4.168,4.6659,0,0.064516129,152163398,122809272,173485119,0.5
20140803,152120792,162090956,162389176,174324225,142610813,163090528,7,3,1,1.1178,4.166,4.6659,0,0.0967741935,281734449,157986108,218339981,1
20140804,154077981,121165959,253136439,241509367,246080213,330300280,1,4,0,1.1451,4.176,4.6659,1,0.1290322581,393656353,325273684,272164963,0.2
20140805,254890053,248676024,325692942,222479621,299355385,237821679,2,5,0,1.1203,4.178,4.6659,1,0.1612903226,185509598,307691465,369452520,0.4
20140806,311680953,278473251,239088792,281820273,277080654,254180106,3,6,0,1.1162,4.178,4.6659,1,0.1935483871,278053927,289004852,278415089,0.6
20140807,269143684,247713799,228056623,257332381,254493213,277110154,4,7,0,1.1186,4.18,4.6659,1,0.2258064516,269628521,284291000,204597291,0.8
20140808,256485155,283816788,378242546,203397102,191967546,233743113,5,8,0,1.1397,4.192,4.6659,1,0.2580645161,282593743,233005216,162854740,1
20140809,228097887,204391027,152120792,198457820,153934641,149584303,6,9,1,1.1173,4.191,4.6659,0,0.2903225806,162090956,152163398,122809272,0.5
20140810,146751994,143619719,154077981,162389176,174324225,142610813,7,10,1,1.1172,4.191,4.6659,0,0.3225806452,121165959,281734449,157986108,1
20140811,164174384,223625820,254890053,253136439,241509367,246080213,1,11,0,1.1235,4.179,4.6659,1,0.3548387097,248676024,393656353,325273684,0.2
20140812,284695009,385895199,311680953,325692942,222479621,299355385,2,12,0,1.1146,4.176,4.6659,1,0.3870967742,278473251,185509598,307691465,0.4
20140813,260705801,254258310,269143684,239088792,281820273,277080654,3,13,0,1.1138,4.175,4.6659,1,0.4193548387,247713799,278053927,289004852,0.6
20140814,262139305,308734578,256485155,228056623,257332381,254493213,4,14,0,1.1367,4.185,4.6659,1,0.4516129032,283816788,269628521,284291000,0.8
20140815,248894735,252702796,228097887,378242546,203397102,191967546,5,15,0,1.1129,4.17,4.6659,1,0.4838709677,204391027,282593743,233005216,1
20140816,268968079,221094668,146751994,152120792,198457820,153934641,6,16,1,1.1128,4.168,4.6659,0,0.5161290323,143619719,162090956,152163398,0.5
20140817,158553438,158797400,164174384,154077981,162389176,174324225,7,17,1,1.1126,4.165,4.6659,0,0.5483870968,223625820,121165959,281734449,1
20140818,161198309,194379633,284695009,254890053,253136439,241509367,1,18,0,1.1122,4.159,4.6659,1,0.5806451613,385895199,248676024,393656353,0.2
20140819,280533543,385940924,260705801,311680953,325692942,222479621,2,19,0,1.122,4.163,4.6659,1,0.6129032258,254258310,278473251,185509598,0.4
20140820,236052637,247704409,262139305,269143684,239088792,281820273,3,20,0,1.124,4.169,4.6659,1,0.6451612903,308734578,247713799,278053927,0.6
20140821,209205785,244720592,248894735,256485155,228056623,257332381,4,21,0,1.1168,4.158,4.6659,1,0.6774193548,252702796,283816788,269628521,0.8
20140822,234392568,185570807,268968079,228097887,378242546,203397102,5,22,0,1.104,4.153,4.6659,1,0.7096774194,221094668,204391027,282593743,1
20140823,182566127,232911054,158553438,146751994,152120792,198457820,6,23,1,1.0997,4.146,4.6659,0,0.7419354839,158797400,143619719,162090956,0.5
20140824,154613502,196780196,161198309,164174384,154077981,162389176,7,24,1,1.0993,4.139,4.6659,0,0.7741935484,194379633,223625820,121165959,1
20140825,134164401,209908787,280533543,284695009,254890053,253136439,1,25,0,1.1122,4.139,4.6659,1,0.8064516129,385940924,385895199,248676024,0.2
20140826,283116043,264492485,236052637,260705801,311680953,325692942,2,26,0,1.1085,4.131,4.6659,1,0.8387096774,247704409,254258310,278473251,0.4
20140827,241046273,271225580,209205785,262139305,269143684,239088792,3,27,0,1.1079,4.123,4.6659,1,0.8709677419,244720592,308734578,247713799,0.6
20140828,227515169,345649378,234392568,248894735,256485155,228056623,4,28,0,1.1043,4.116,4.6659,1,0.9032258065,185570807,252702796,283816788,0.8
20140829,240376956,327274182,182566127,268968079,228097887,378242546,5,29,0,1.1169,4.123,4.6659,1,0.935483871,232911054,221094668,204391027,1
